pred_row_in_split,global_row_index,language_pair,sentence1,sentence2,y_true,y_pred_mean,y_pred_std,abs_error,signed_error
384,2805,ko-ko,두 마리의 흰 개가 물속에서 수영하고 있습니다.,새들이 물속에서 헤엄치고 있다.,0.1599999964237213,0.40667757391929626,0.08886436372995377,0.24667757749557495,-0.24667757749557495
511,81,ar-ar,يتنافس مجموعة من الناس في نوع من مسابقات العدو.,هناك مجموعة من الناس في مسابقة.,0.6000000238418579,0.8412748575210571,0.04476233571767807,0.24127483367919922,-0.24127483367919922
334,3582,ko-ko,"베테랑 말레이시아 외교관은 수요일 양곤의 호숫가 집에서 수지 여사를 만났는데, 그녀는 가택 연금 상태에 있다.","라잘리 이스마일은 1991년 노벨 평화상 수상자인 수지 여사와 90분 동안, 그녀는 가택 연금되어 있는 그녀의 호숫가 집에서 만났다.",0.7383999824523926,0.5004265308380127,0.0755104273557663,0.23797345161437988,0.23797345161437988
408,2674,ko-ko,한 여성이 큰 후추를 자르고 있다.,한 사람이 초록 후추를 자르고 있다.,0.6800000071525574,0.44426169991493225,0.09533990174531937,0.23573830723762512,0.23573830723762512
30,3315,ko-ko,"우리 딸은 항상 목욕을 좋아했지만, 밖으로 나오는 것은... 그리 많지는 않았다...",아내와 나는 원래 목욕 시간이 끝났을 때 우리의 신생아 쌍둥이가 ㅅ소란을 피우는 것과 같은 문제를 겪었다.,0.5600000023841858,0.32793110609054565,0.07620611041784286,0.23206889629364014,0.23206889629364014
466,5036,ko-ko,Kollar-Kotelly는 1월에 또 다른 독점 금지 조치 준수 심리를 가질 예정이다.,판사는 1월 말 또 다른 감독 심리를 예정했다.,0.5600000023841858,0.3282894492149353,0.07705298811197281,0.2317105531692505,0.2317105531692505
264,1013,en-tr,A woman is sitting on cloth.,Bir kadın beyaz bir kanepede oturuyor.,0.6800000071525574,0.45027559995651245,0.10431946814060211,0.22972440719604492,0.22972440719604492
519,2547,ko-ko,남자가 말을 타고 있다.,한 여자가 괭이를 사용하고 있다.,0.0,0.22524012625217438,0.07428508996963501,0.22524012625217438,-0.22524012625217438
166,3786,ko-ko,9/11 피고인은 관타나모 청문회에서 판사를 무시한다.,9월 11일 피고들은 청문회에서 가족들을 격분시킨다.,0.20000000298023224,0.4248996675014496,0.08979646116495132,0.22489966452121735,-0.22489966452121735
341,5251,ko-ko,파키스타인 열차에서 폭탄 폭발로 12명 사망,파키스탄 남서부에서 총잡이가 9명 살해 : 경찰,0.4000000059604645,0.17552587389945984,0.052184510976076126,0.22447413206100464,0.22447413206100464
